,Price,Area (m²),Number of rooms,Address,Heating,Market,Advertiser type,Building type,Year of construction,Windows,Building material,type,voivodeship,offer year
1514,173000.0,22.3,2.0,"ul. Szydłowiecka, Skarżysko-Kamienna, skarżyski, świętokrzyskie",miejskie,wtórny,biuro nieruchomości,blok,1973,plastikowe,wielka płyta,studio,świętokrzyskie,2025
1515,650012.0,39.44,2.0,"ul. Jedności Narodowej, Ołbin, Śródmieście, Wrocław, dolnośląskie",miejskie,pierwotny,biuro nieruchomości,blok,2026,plastikowe,inny,studio,dolnośląskie,2025
1516,441858.0,28.89,2.0,"ul. Przeworska, Grochów, Praga-Południe, Warszawa, mazowieckie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,inny,studio,mazowieckie,2025
1517,463389.3333333333,28.8,2.0,"ul. Zygmunta Wojciechowskiego, Piątkowo, Stare Miasto, Poznań, wielkopolskie",miejskie,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,wielkopolskie,2025
1518,345000.0,32.0,2.0,"ul. Maksymiliana Strasza, Osiedle Kochanowskiego, Kielce, świętokrzyskie",gazowe,wtórny,prywatny,blok,2013,plastikowe,cegła,studio,świętokrzyskie,2025
1519,620000.0,26.6,2.0,"ul. Syreny, Młynów, Wola, Warszawa, mazowieckie",miejskie,wtórny,prywatny,blok,1963,plastikowe,wielka płyta,studio,mazowieckie,2025
1520,456801.0,32.09,2.0,"al. marsz. Józefa Piłsudskiego, Księży Młyn, Widzew, Łódź, łódzkie",miejskie,pierwotny,prywatny,apartamentowiec,2025,plastikowe,inny,studio,łódzkie,2025
1521,421681.0,25.87,2.0,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,inny,studio,mazowieckie,2025
1522,650000.0,29.47,2.0,"Świnoujście, zachodniopomorskie",miejskie,wtórny,biuro nieruchomości,apartamentowiec,2014,plastikowe,cegła,studio,zachodniopomorskie,2025
1523,340780.0,30.98,2.0,"ul. Dębowa/Senatorska, Górniak, Górna, Łódź, łódzkie",miejskie,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,łódzkie,2025
1524,199000.0,34.0,2.0,"ul. Walentego Fojkisa, Michałkowice, Siemianowice Śląskie, śląskie",miejskie,wtórny,biuro nieruchomości,blok,1960,plastikowe,cegła,studio,śląskie,2025
1525,510000.0,35.12,2.0,"ul. Esej, Chomiczówka, Bielany, Warszawa, mazowieckie",miejskie,wtórny,biuro nieruchomości,blok,2000,plastikowe,cegła,studio,mazowieckie,2025
1526,1154000.0,39.78,2.0,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,beton komórkowy,studio,mazowieckie,2025
1527,399000.0,26.8,2.0,"ul. Nowowiejska, Ołbin, Śródmieście, Wrocław, dolnośląskie",gazowe,wtórny,biuro nieruchomości,kamienica,1890,drewniane,cegła,studio,dolnośląskie,2025
1528,459000.0,30.9,2.0,"ul. Pilotów, Zaspa-Młyniec, Gdańsk, pomorskie",miejskie,wtórny,biuro nieruchomości,blok,1975,plastikowe,wielka płyta,studio,pomorskie,2025
1529,521904.3333333333,28.09,2.0,"ul. Piątkowska, Winiary, Jeżyce, Poznań, wielkopolskie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,inny,studio,wielkopolskie,2025
1530,228000.0,36.0,2.0,"ul. Księcia Witolda 4a, Pszów, wodzisławski, śląskie",miejskie,wtórny,biuro nieruchomości,blok,1980,plastikowe,cegła,studio,śląskie,2025
1531,349000.0,25.0,2.0,"os. Kazimierzowskie, Bieńczyce, Bieńczyce, Kraków, małopolskie",miejskie,wtórny,biuro nieruchomości,blok,1980,plastikowe,wielka płyta,studio,małopolskie,2025
1532,380270.0,27.25,2.0,"al. marsz. Piłsudskiego, Osiedle Olga, Tychy, śląskie",miejskie,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,śląskie,2025
1533,369000.0,19.0,2.0,"al. Dębowa, Borek, Krzyki, Wrocław, dolnośląskie",miejskie,wtórny,prywatny,blok,1970,plastikowe,wielka płyta,studio,dolnośląskie,2025
1534,459000.0,30.0,2.0,"ul. Jagiellońska, Przymorze Wielkie, Gdańsk, pomorskie",miejskie,wtórny,biuro nieruchomości,blok,1972,plastikowe,wielka płyta,studio,pomorskie,2025
1535,233600.0,32.0,2.0,"Mikosze, Orzysz, piski, warmińsko-mazurskie",miejskie,pierwotny,prywatny,blok,2025,plastikowe,żelbet,studio,warmińsko-mazurskie,2025
1536,374796.0,32.31,2.0,"Dąb, Katowice, śląskie",miejskie,pierwotny,biuro nieruchomości,apartamentowiec,2024,plastikowe,beton komórkowy,studio,śląskie,2025
1537,169000.0,14.4,2.0,"ul. Młodzieży, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",gazowe,wtórny,prywatny,kamienica,1920,plastikowe,cegła,studio,małopolskie,2025
1538,484800.0,27.4,2.0,"ul. Świeradowska, Gaj, Krzyki, Wrocław, dolnośląskie",miejskie,pierwotny,biuro nieruchomości,apartamentowiec,2025,plastikowe,beton komórkowy,studio,dolnośląskie,2025
1539,566280.0,34.32,2.0,"ul. Pękowicka 94, Tonie, Prądnik Biały, Kraków, małopolskie",miejskie,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,małopolskie,2025
1540,316466.0,26.54,2.0,"ul. Siennicka, Śródmieście, Gdańsk, pomorskie",miejskie,pierwotny,biuro nieruchomości,apartamentowiec,2025,plastikowe,inny,studio,pomorskie,2025
1541,527766.0,55.77,2.6666666666666665,"generała Władysława Andersa, Wojska Polskiego, Gliwice, śląskie",miejskie,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,śląskie,2025
1542,560729.0,27.71,2.0,"ul. Spadochroniarzy, Złotno, Polesie, Łódź, łódzkie",miejskie,pierwotny,deweloper,apartamentowiec,2024,plastikowe,inny,studio,łódzkie,2025
1543,409333.3333333333,29.48,2.0,"ul. Osiedlowa, Kpgo Mysiadło, Lesznowola, piaseczyński, mazowieckie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,inny,studio,mazowieckie,2025
1544,569000.0,28.68,2.0,"ul. Ludwika Rydygiera 16, Nadodrze, Śródmieście, Wrocław, dolnośląskie",miejskie,wtórny,biuro nieruchomości,apartamentowiec,2010,plastikowe,cegła,studio,dolnośląskie,2025
1545,565000.0,30.37,2.0,"ul. Szczęśliwicka, Szczęśliwice, Ochota, Warszawa, mazowieckie",miejskie,wtórny,biuro nieruchomości,apartamentowiec,2018,plastikowe,cegła,studio,mazowieckie,2025
1546,379000.0,33.1,2.0,"ul. Narutowicza, Błonie, Błonie, warszawski zachodni, mazowieckie",miejskie,wtórny,biuro nieruchomości,blok,1963,plastikowe,cegła,studio,mazowieckie,2025
1547,515000.0,33.3,2.0,"ul. Cyraneczki, Grochów, Praga-Południe, Warszawa, mazowieckie",miejskie,wtórny,biuro nieruchomości,blok,1970,plastikowe,cegła,studio,mazowieckie,2025
1548,180000.0,32.5,2.0,"ul. Alojzego Felińskiego, Miechowice, Bytom, śląskie",miejskie,wtórny,prywatny,blok,1979,plastikowe,wielka płyta,studio,śląskie,2025
1549,530000.0,33.58,2.0,"Stare Miasto, Stare Miasto, Kraków, małopolskie",elektryczne,wtórny,biuro nieruchomości,blok,1975,plastikowe,cegła,studio,małopolskie,2025
1550,269000.0,35.0,2.0,"ul. Ciasna, Sobótka, Sobótka, wrocławski, dolnośląskie",gazowe,wtórny,biuro nieruchomości,blok,1970,plastikowe,cegła,studio,dolnośląskie,2025
1551,514532.0,40.42,2.0,"ul. gen. Władysława Andersa, Ząbki, wołomiński, mazowieckie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,beton komórkowy,studio,mazowieckie,2025
1552,260000.0,34.11,2.0,"Okole, Bydgoszcz, kujawsko-pomorskie",gazowe,wtórny,biuro nieruchomości,kamienica,1915,plastikowe,cegła,studio,kujawsko-pomorskie,2025
1553,301725.3333333333,25.31,2.0,"ul. Twarda, Młyniska, Gdańsk, pomorskie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,inny,studio,pomorskie,2025
1554,399000.0,27.0,2.0,"ul. Cicha, Kołobrzeg, kołobrzeski, zachodniopomorskie",gazowe,wtórny,prywatny,kamienica,1920,plastikowe,cegła,studio,zachodniopomorskie,2025
1555,382230.0,26.16,2.0,"ul. Ludwika Zieleniewskiego, Grzegórzki, Grzegórzki, Kraków, małopolskie",miejskie,pierwotny,deweloper,apartamentowiec,2027,plastikowe,inny,studio,małopolskie,2025
1556,415494.0,33.78,2.0,"ul. Rzepakowa, Piotrowice-Ochojec, Katowice, śląskie",miejskie,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,śląskie,2025
1557,1097000.0,38.0,2.0,"ul. Siedmiogrodzka, Czyste, Wola, Warszawa, mazowieckie",miejskie,wtórny,biuro nieruchomości,apartamentowiec,2021,plastikowe,inny,studio,mazowieckie,2025
1558,380000.0,32.99,2.0,"al. Józefa Piłsudskiego, Śródmieście, Lublin, lubelskie",miejskie,wtórny,prywatny,kamienica,1966,plastikowe,wielka płyta,studio,lubelskie,2025
1559,359666.6666666667,36.0,2.0,"ul. Wronia, Mirów, Wola, Warszawa, mazowieckie",gazowe,pierwotny,deweloper,apartamentowiec,2025,plastikowe,cegła,studio,mazowieckie,2025
1560,596000.0,44.32,2.3333333333333335,"Wojciecha Kiedrowskiego, Jasień, Gdańsk, pomorskie",miejskie,pierwotny,biuro nieruchomości,blok,2025,plastikowe,cegła,studio,pomorskie,2025
1561,120000.0,26.4,2.0,"Świebodzice, świdnicki, dolnośląskie",inne,wtórny,biuro nieruchomości,kamienica,1920,plastikowe,cegła,studio,dolnośląskie,2025
1562,478000.0,28.2,2.0,"ul. św. Hieronima, Bródno, Targówek, Warszawa, mazowieckie, Zacisze, Targówek, Warszawa, mazowieckie",miejskie,wtórny,prywatny,blok,1968,plastikowe,inny,studio,mazowieckie,2025
1563,842648.6666666666,51.45,2.6666666666666665,"ul. 6 Sierpnia, Stare Polesie, Polesie, Łódź, łódzkie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,inny,studio,łódzkie,2025
1564,409582.6666666667,22.13,2.0,"ul. Jantarowa 3,5,9, Jastrzębia Góra, Władysławowo, pucki, pomorskie",miejskie,pierwotny,deweloper,apartamentowiec,2025,plastikowe,inny,studio,pomorskie,2025
1565,367598.3333333333,37.77,2.0,"ul. Ludwika Zieleniewskiego, Grzegórzki, Grzegórzki, Kraków, małopolskie",miejskie,pierwotny,deweloper,apartamentowiec,2027,plastikowe,inny,studio,małopolskie,2025
1566,447544.0,26.02,2.0,"ul. Świeradowska, Gaj, Krzyki, Wrocław, dolnośląskie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,beton komórkowy,studio,dolnośląskie,2025
1567,392686.6666666667,35.25,2.0,"ul. Ludwika Zieleniewskiego, Grzegórzki, Grzegórzki, Kraków, małopolskie",miejskie,pierwotny,deweloper,apartamentowiec,2027,plastikowe,inny,studio,małopolskie,2025
1568,187000.0,29.0,2.0,"Trzebiatów, Trzebiatów, gryficki, zachodniopomorskie",gazowe,wtórny,biuro nieruchomości,blok,1950,plastikowe,pustak,studio,zachodniopomorskie,2025
1569,1369701.0,38.65,2.0,"ul. Chmielna, Mirów, Wola, Warszawa, mazowieckie",inne,pierwotny,deweloper,blok,2025,plastikowe,cegła,studio,mazowieckie,2025
1570,639000.0,27.88,2.0,"ul. Antonia Corazziego, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",miejskie,wtórny,biuro nieruchomości,blok,1961,plastikowe,cegła,studio,mazowieckie,2025
1571,235000.0,25.82,2.0,"ul. Mieczysławy Ćwiklińskiej, Widzew Wschód, Widzew, Łódź, łódzkie",miejskie,wtórny,biuro nieruchomości,blok,1980,plastikowe,wielka płyta,studio,łódzkie,2025
1572,539000.0,38.48,2.0,"Wisniowy Sad, Czuby Północne, Lublin, lubelskie",miejskie,wtórny,biuro nieruchomości,blok,2012,plastikowe,beton komórkowy,studio,lubelskie,2025
1573,613770.0,28.62,2.0,"ul. Wilków Morskich, Jastrzębia Góra, Władysławowo, pucki, pomorskie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,inny,studio,pomorskie,2025
1574,884875.6666666666,40.46,2.0,"ul. Chłodna, Helenów, Bałuty, Łódź, łódzkie",miejskie,pierwotny,deweloper,apartamentowiec,2024,plastikowe,inny,studio,łódzkie,2025
1575,449000.0,39.4,2.0,"Dąbrowskiego, Rzeszów, podkarpackie",miejskie,wtórny,biuro nieruchomości,blok,1965,plastikowe,cegła,studio,podkarpackie,2025
1576,542706.0,31.19,2.0,"ul. Świeradowska, Gaj, Krzyki, Wrocław, dolnośląskie",miejskie,pierwotny,deweloper,apartamentowiec,2026,plastikowe,beton komórkowy,studio,dolnośląskie,2025
1577,226000.0,28.3,2.0,"ul. Powstańców Warszawy, Oświęcim, oświęcimski, małopolskie",miejskie,wtórny,biuro nieruchomości,blok,1980,plastikowe,wielka płyta,studio,małopolskie,2025
1578,457471.3333333333,27.54,2.0,"ul. Spadochroniarzy, Złotno, Polesie, Łódź, łódzkie",miejskie,pierwotny,deweloper,apartamentowiec,2024,plastikowe,inny,studio,łódzkie,2025
1579,340649.0,26.23,2.0,"ul. Targowa, Fabryczna, Śródmieście, Łódź, łódzkie",miejskie,pierwotny,biuro nieruchomości,apartamentowiec,2025,plastikowe,inny,studio,łódzkie,2025
1580,493776.6666666667,30.33,2.0,"ul. Królowej Jadwigi 51, Łęgi Dębińskie, Wilda, Poznań, wielkopolskie",miejskie,pierwotny,deweloper,apartamentowiec,2027,plastikowe,inny,studio,wielkopolskie,2025
1581,696000.0,43.5,2.0,"ul. Władysława Witwickiego, Gocław, Praga-Południe, Warszawa, mazowieckie",miejskie,wtórny,biuro nieruchomości,blok,1970,drewniane,wielka płyta,studio,mazowieckie,2025
1582,179000.0,15.9,2.0,"Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",inne,wtórny,prywatny,kamienica,1920,plastikowe,cegła,studio,małopolskie,2025
