,Price,Area (m²),Number of rooms,Address,Heating,Market,Advertiser type,Building type,Year of construction,Windows,Building material,type,voivodeship,offer year
0,1999000.0,148.0,4.0,"ul. Olchowa, Ujeścisko-Łostowice, Gdańsk, pomorskie",gazowe,wtórny,prywatny,szeregowiec,2021,plastikowe,silikat,house,pomorskie,2025
1,149000.0,70.0,3.0,"Nowy Las, Głuchołazy, nyski, opolskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,pustak,house,opolskie,2025
2,949000.0,110.17,4.0,"Wołomin, Wołomin, wołomiński, mazowieckie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
3,729000.0,114.0,5.0,"ul. Lokalna, Płock, mazowieckie",gazowe,wtórny,biuro nieruchomości,bliźniak,1970,plastikowe,pustak,house,mazowieckie,2025
4,559000.0,150.0,4.0,"Knurów, gliwicki, śląskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,cegła,house,śląskie,2025
5,410000.0,82.0,5.0,"ul. Biała, Glinice, Radom, mazowieckie",gazowe,wtórny,biuro nieruchomości,wolnostojący,1985,plastikowe,pustak,house,mazowieckie,2025
6,439000.0,161.0,4.0,"Barcino, Kępice, słupski, pomorskie",węglowe,wtórny,biuro nieruchomości,wolnostojący,1997,plastikowe,pustak,house,pomorskie,2025
8,1182460.0,133.9,4.0,"Pgr Kręczki Kaputy, Ożarów Mazowiecki, warszawski zachodni, mazowieckie",pompa ciepła,pierwotny,biuro nieruchomości,szeregowiec,2025,plastikowe,inny,house,mazowieckie,2025
10,370000.0,37.0,3.0,"Kretowiny, Morąg, ostródzki, warmińsko-mazurskie",inne,wtórny,biuro nieruchomości,bliźniak,1980,plastikowe,drewno,house,warmińsko-mazurskie,2025
11,886000.0,128.0,5.0,"Malin, Wisznia Mała, trzebnicki, dolnośląskie",inne,pierwotny,prywatny,szeregowiec,2021,plastikowe,pustak,house,dolnośląskie,2025
12,549000.0,88.0,3.0,"ul. Szkolna, Rokietnica, Rokietnica, poznański, wielkopolskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2019,plastikowe,cegła,house,wielkopolskie,2025
13,1150000.0,127.5,4.0,"Bożnów, Żagań, żagański, lubuskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,cegła,house,lubuskie,2025
14,1800000.0,139.0,4.0,"Maciejkowice, Chorzów Stary, Chorzów, śląskie",gazowe,wtórny,biuro nieruchomości,bliźniak,2018,plastikowe,pustak,house,śląskie,2025
15,720000.0,131.0,4.0,"Wodzisław Śląski, wodzisławski, śląskie",gazowe,pierwotny,biuro nieruchomości,wolnostojący,2024,plastikowe,pustak,house,śląskie,2025
16,479000.0,78.24,4.0,"Psarskie, Śrem, śremski, wielkopolskie",gazowe,pierwotny,deweloper,bliźniak,2024,plastikowe,pustak,house,wielkopolskie,2025
17,756000.0,200.0,7.0,"Nowa Wieś Wielka, Nowa Wieś Wielka, bydgoski, kujawsko-pomorskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,pustak,house,kujawsko-pomorskie,2025
18,998900.0,109.3,4.0,"Grodzisk Mazowiecki, Grodzisk Mazowiecki, grodziski, mazowieckie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2010,plastikowe,pustak,house,mazowieckie,2025
19,550000.0,83.01,4.0,"Skałowska, Gwiazdowo, Kostrzyn, poznański, wielkopolskie",pompa ciepła,pierwotny,deweloper,bliźniak,2024,plastikowe,cegła,house,wielkopolskie,2025
20,320000.0,73.3,3.0,"Niwica, Trzebiel, żarski, lubuskie",węglowe,wtórny,biuro nieruchomości,wolnostojący,2023,drewniane,cegła,house,lubuskie,2025
21,499000.0,88.0,4.0,"Rydzyńska, Dąbcze, Rydzyna, leszczyński, wielkopolskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2018,plastikowe,cegła,house,wielkopolskie,2025
22,899000.0,160.0,5.0,"ul. Słoneczna, Kozy, Kozy, bielski, śląskie",inne,wtórny,prywatny,wolnostojący,2005,plastikowe,inny,house,śląskie,2025
23,769968.0,132.07,4.0,"ul. Nadbrzeżna, Stargard, stargardzki, zachodniopomorskie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,zachodniopomorskie,2025
24,550000.0,136.0,3.0,"ul. Ruczajowa, Dojlidy Górne, Białystok, podlaskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2008,plastikowe,pustak,house,podlaskie,2025
25,200000.0,55.0,2.0,"Włodowice, Włodowice, zawierciański, śląskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,inny,house,śląskie,2025
27,1150000.0,166.0,5.0,"Słupno, Radzymin, wołomiński, mazowieckie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2024,plastikowe,pustak,house,mazowieckie,2025
28,1300000.0,146.0,4.0,"ul. Jesionowa, Wirek, Ruda Śląska, śląskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2025,plastikowe,pustak,house,śląskie,2025
29,760000.0,118.0,5.0,"Piaseczno, Piaseczno, piaseczyński, mazowieckie",pompa ciepła,pierwotny,prywatny,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
30,970000.0,102.0,5.0,"Szczodre, Długołęka, wrocławski, dolnośląskie",pompa ciepła,pierwotny,prywatny,wolnostojący,2025,plastikowe,cegła,house,dolnośląskie,2025
31,670000.0,70.0,3.0,"Boszkowo-Letnisko, Włoszakowice, leszczyński, wielkopolskie",elektryczne,wtórny,biuro nieruchomości,wolnostojący,2023,drewniane,cegła,house,wielkopolskie,2025
32,663333.3333333334,68.0,2.0,"Hołużne, Grabowiec, zamojski, lubelskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,pustak,house,lubelskie,2025
33,499000.0,130.0,5.0,"ul. Wolności, Mirków, Długołęka, wrocławski, dolnośląskie",pompa ciepła,pierwotny,biuro nieruchomości,wolnostojący,1974,aluminiowe,wielka płyta,house,dolnośląskie,2025
34,770000.0,87.9,4.0,"Gumieńce, Zachód, Szczecin, zachodniopomorskie",pompa ciepła,pierwotny,biuro nieruchomości,wolnostojący,2025,plastikowe,cegła,house,zachodniopomorskie,2025
35,799000.0,176.0,5.0,"ul. Filona, Osiedle Juliusza Słowackiego, Centrum, Zielona Góra, lubuskie",gazowe,wtórny,biuro nieruchomości,bliźniak,1972,plastikowe,pustak,house,lubuskie,2025
36,550000.0,144.0,4.0,"Czarna Wieś, Pionki, radomski, mazowieckie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,inny,house,mazowieckie,2025
37,252000.0,120.0,3.0,"Tarchalice, Wołów, wołowski, dolnośląskie",węglowe,wtórny,prywatny,wolnostojący,1930,plastikowe,cegła,house,dolnośląskie,2025
38,650000.0,155.0,4.0,"Sulejówek, miński, mazowieckie",gazowe,wtórny,biuro nieruchomości,bliźniak,2024,plastikowe,inny,house,mazowieckie,2025
39,1100000.0,120.0,5.0,"Łomianki, Łomianki, warszawski zachodni, mazowieckie",inne,pierwotny,prywatny,bliźniak,2021,plastikowe,cegła,house,mazowieckie,2025
41,1270000.0,130.0,4.0,"Waksmund, Nowy Targ, nowotarski, małopolskie",pompa ciepła,wtórny,biuro nieruchomości,wolnostojący,2012,drewniane,drewno,house,małopolskie,2025
42,890000.0,137.0,5.0,"Jesionowa, Bąków, Długołęka, wrocławski, dolnośląskie",pompa ciepła,pierwotny,prywatny,bliźniak,2024,plastikowe,cegła,house,dolnośląskie,2025
43,1100000.0,207.0,5.0,"Świerszczów, Hrubieszów, hrubieszowski, lubelskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2018,aluminiowe,pustak,house,lubelskie,2025
44,1160000.0,154.26,5.0,"ul. Tęczowa, Tuchom, Żukowo, kartuski, pomorskie",inne,pierwotny,prywatny,wolnostojący,2025,aluminiowe,silikat,house,pomorskie,2025
45,759000.0,140.0,5.0,"Bojano, Szemud, wejherowski, pomorskie",gazowe,pierwotny,prywatny,bliźniak,2024,plastikowe,beton komórkowy,house,pomorskie,2025
46,1140000.0,131.2,4.0,"ul. Opatowicka, Księże, Krzyki, Wrocław, dolnośląskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2025,plastikowe,cegła,house,dolnośląskie,2025
48,725000.0,145.0,4.0,"Raszowa, Leśnica, strzelecki, opolskie",węglowe,wtórny,prywatny,wolnostojący,1930,plastikowe,cegła,house,opolskie,2025
49,1299000.0,94.68,4.0,"Chełm, Zwierzyniec, Kraków, małopolskie",pompa ciepła,pierwotny,prywatny,szeregowiec,2024,plastikowe,cegła,house,małopolskie,2025
50,2250000.0,209.0,6.0,"Oława, oławski, dolnośląskie",inne,wtórny,biuro nieruchomości,wolnostojący,2008,plastikowe,pustak,house,dolnośląskie,2025
51,911612.0,83.01,5.0,"Jagodno, Krzyki, Wrocław, dolnośląskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2024,plastikowe,cegła,house,dolnośląskie,2025
53,1499999.0,177.0,5.0,"Ładzyń, Stanisławów, miński, mazowieckie",pompa ciepła,wtórny,biuro nieruchomości,bliźniak,2023,plastikowe,cegła,house,mazowieckie,2025
54,1090000.0,131.2,4.0,"ul. Opatowicka, Księże, Krzyki, Wrocław, dolnośląskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2025,plastikowe,cegła,house,dolnośląskie,2025
55,1649000.0,128.0,4.0,"ul. Wileńska, Marki, wołomiński, mazowieckie",gazowe,wtórny,biuro nieruchomości,szeregowiec,2023,plastikowe,pustak,house,mazowieckie,2025
57,1190000.0,156.0,5.0,"Bibice, Zielonki, krakowski, małopolskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2011,plastikowe,cegła,house,małopolskie,2025
58,959500.0,127.08,4.0,"Straszyn, Pruszcz Gdański, gdański, pomorskie",pompa ciepła,pierwotny,prywatny,bliźniak,2025,plastikowe,silikat,house,pomorskie,2025
59,840000.0,162.0,3.0,"Włocławek, kujawsko-pomorskie",gazowe,wtórny,prywatny,szeregowiec,2017,plastikowe,inny,house,kujawsko-pomorskie,2025
61,11400.0,57.0,2.0,"Pogorzel, Gołdap, gołdapski, warmińsko-mazurskie",inne,wtórny,prywatny,bliźniak,1986,plastikowe,cegła,house,warmińsko-mazurskie,2025
62,710000.0,124.28,5.0,"ul. św. Brata Alberta, Północ, Częstochowa, śląskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2025,plastikowe,pustak,house,śląskie,2025
63,865000.0,106.6,5.0,"ul. Owocowa, Łowęcin, Swarzędz, poznański, wielkopolskie",gazowe,pierwotny,deweloper,bliźniak,2024,plastikowe,cegła,house,wielkopolskie,2025
64,1895000.0,135.21,5.0,"ul. Borków, Zerzeń, Wawer, Warszawa, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2024,plastikowe,pustak,house,mazowieckie,2025
65,580000.0,145.0,4.0,"Wspólna 1, Trzebiatów, Trzebiatów, gryficki, zachodniopomorskie",węglowe,wtórny,prywatny,bliźniak,2022,plastikowe,cegła,house,zachodniopomorskie,2025
66,1250000.0,135.0,5.0,"al. Józefa Piłsudskiego, Piastów, pruszkowski, mazowieckie",pompa ciepła,pierwotny,prywatny,szeregowiec,2024,plastikowe,beton komórkowy,house,mazowieckie,2025
67,799500.0,103.0,5.0,"ul. Długa, Krępa, Prażmów, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
68,720000.0,123.41,5.0,"Kokoszki, Gdańsk, pomorskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2024,plastikowe,cegła,house,pomorskie,2025
69,780000.0,105.26,3.0,"Wdowin, Drużbice, bełchatowski, łódzkie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2016,plastikowe,pustak,house,łódzkie,2025
70,950000.0,162.9,5.0,"ul. Wrzosowa, Załęże, Przodkowo, kartuski, pomorskie",węglowe,wtórny,biuro nieruchomości,wolnostojący,2008,plastikowe,pustak,house,pomorskie,2025
71,1349000.0,135.0,4.0,"ul. Bohaterów, Starachowice, starachowicki, świętokrzyskie",gazowe,wtórny,biuro nieruchomości,bliźniak,1937,plastikowe,cegła,house,świętokrzyskie,2025
73,750000.0,109.0,4.0,"ul. Grudziądzka, Stargard, stargardzki, zachodniopomorskie",gazowe,pierwotny,biuro nieruchomości,wolnostojący,2025,plastikowe,pustak,house,zachodniopomorskie,2025
74,2300000.0,155.0,6.0,"Kamienny Potok, Sopot, pomorskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,1967,drewniane,cegła,house,pomorskie,2025
75,990000.0,135.0,4.0,"Mirów, Częstochowa, śląskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2024,plastikowe,beton komórkowy,house,śląskie,2025
76,750926.3333333334,113.55,5.0,"Danuty Siedzikówny, Zawidawie, Psie Pole, Wrocław, dolnośląskie",pompa ciepła,pierwotny,deweloper,wolnostojący,2026,plastikowe,cegła,house,dolnośląskie,2025
77,660000.0,90.19,5.0,"Bojano, Szemud, wejherowski, pomorskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2025,plastikowe,silikat,house,pomorskie,2025
78,18750.0,115.0,3.0,"Olbrachtów, Żary, żarski, lubuskie",gazowe,wtórny,prywatny,wolnostojący,2023,plastikowe,pustak,house,lubuskie,2025
79,1900000.0,180.0,6.0,"ul. Trombity, Jeziorki Południowe, Ursynów, Warszawa, mazowieckie",gazowe,wtórny,biuro nieruchomości,bliźniak,2019,plastikowe,cegła,house,mazowieckie,2025
80,390000.0,120.0,4.0,"Dąbrówka Warszawska, Wierzbica, radomski, mazowieckie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,pustak,house,mazowieckie,2025
81,820801.3333333334,86.95,4.0,"Grodziska, Stara Wieś, Nadarzyn, pruszkowski, mazowieckie",pompa ciepła,pierwotny,deweloper,wolnostojący,2025,plastikowe,cegła,house,mazowieckie,2025
82,1327560.0,127.65,5.0,"ul. Kominiarska, Widawa, Psie Pole, Wrocław, dolnośląskie",pompa ciepła,pierwotny,deweloper,bliźniak,2024,plastikowe,cegła,house,dolnośląskie,2025
83,1546666.6666666667,150.0,6.0,"Powsin, Wilanów, Warszawa, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2024,plastikowe,cegła,house,mazowieckie,2025
84,1999900.0,207.0,4.0,"ul. Krasnoludków, os. Bajkowe, Grunwald, Poznań, wielkopolskie",inne,wtórny,biuro nieruchomości,wolnostojący,2004,drewniane,cegła,house,wielkopolskie,2025
85,195000.0,58.0,2.0,"Dęby, Dęby, Łyse, ostrołęcki, mazowieckie",inne,wtórny,biuro nieruchomości,wolnostojący,1960,drewniane,cegła,house,mazowieckie,2025
86,1290000.0,170.0,6.0,"ul. Złotno, Złotno, Polesie, Łódź, łódzkie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,cegła,house,łódzkie,2025
87,1899000.0,146.0,6.0,"Borek, Krzyki, Wrocław, dolnośląskie",węglowe,wtórny,biuro nieruchomości,bliźniak,1928,plastikowe,cegła,house,dolnośląskie,2025
88,959000.0,95.13,4.0,"ul. Strażacka, Widawa, Psie Pole, Wrocław, dolnośląskie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,dolnośląskie,2025
89,900000.0,120.89,5.0,"ul. Osiedlowa, Góraszka, Wiązowna, otwocki, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,mazowieckie,2025
90,1129000.0,112.0,4.0,"ul. Malwy, Nowa Wola, Lesznowola, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
92,980000.0,103.0,5.0,"Spacerowa, Dąbrowa Szlachecka, Czernichów, krakowski, małopolskie",pompa ciepła,pierwotny,deweloper,bliźniak,2024,plastikowe,cegła,house,małopolskie,2025
93,1100000.0,148.0,4.0,"Ostropa, Gliwice, śląskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2022,plastikowe,pustak,house,śląskie,2025
94,769000.0,124.5,5.0,"ul. Serdeczna, Zalasewo, Swarzędz, poznański, wielkopolskie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,wielkopolskie,2025
95,800533.3333333334,78.69,4.0,"Dworska, Lipowa, Lipowa, żywiecki, śląskie",gazowe,pierwotny,deweloper,bliźniak,2025,plastikowe,pustak,house,śląskie,2025
96,769333.3333333334,125.09,5.0,"ul. Beskidzka, Stare Moskule, Widzew, Łódź, łódzkie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,łódzkie,2025
97,1260000.0,92.62,5.0,"ul. Kajetańska, Czechowice, Ursus, Warszawa, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
98,1083333.3333333333,92.62,5.0,"ul. Kajetańska, Czechowice, Ursus, Warszawa, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
99,1790000.0,178.55,6.0,"ul. Kuropatwy, Mysiadło, Lesznowola, piaseczyński, mazowieckie",gazowe,pierwotny,deweloper,szeregowiec,2025,plastikowe,cegła,house,mazowieckie,2025
100,2512460.0,142.1,5.0,"ul. Piaseczyńska, Konstancin-Jeziorna, Konstancin-Jeziorna, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2024,plastikowe,cegła,house,mazowieckie,2025
101,1083333.3333333333,92.62,5.0,"ul. Kajetańska, Czechowice, Ursus, Warszawa, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
102,898779.0,113.24,4.0,"ul. Przepiórki, Nowa Wola, Lesznowola, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,mazowieckie,2025
103,1175000.0,129.96,4.0,"ul. Droga Hrabska 5G, Falenty Nowe, Raszyn, pruszkowski, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,mazowieckie,2025
104,1779666.6666666667,148.77,6.0,"Jeżdziecka, Bobrowiec, Piaseczno, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
105,966333.0,107.62,4.0,"ul. Arkadii, Nadwiśle, Wawer, Warszawa, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,mazowieckie,2025
106,1149000.0,131.09,5.0,"ul. Krótka, Stara Iwiczna, Lesznowola, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
107,1099000.0,134.7,4.0,"ul. Gostyńska, Kokoszki, Gdańsk, pomorskie",pompa ciepła,pierwotny,deweloper,bliźniak,2027,plastikowe,cegła,house,pomorskie,2025
108,1085000.0,131.3,4.0,"ul. Kampinoska, Ujeścisko-Łostowice, Gdańsk, pomorskie",pompa ciepła,pierwotny,deweloper,bliźniak,2024,plastikowe,cegła,house,pomorskie,2025
109,805676.0,106.01,4.0,"Łukaszewska 42/44, Stare Moskule, Widzew, Łódź, łódzkie",pompa ciepła,pierwotny,deweloper,szeregowiec,2026,plastikowe,cegła,house,łódzkie,2025
110,2269000.0,175.0,5.0,"ul. Borowiecka, Nadwiśle, Wawer, Warszawa, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
111,899000.0,157.0,5.0,"Krościna Mała, Prusice, trzebnicki, dolnośląskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,pustak,house,dolnośląskie,2025
112,1029333.3333333334,67.39,3.0,"ul. Sympatyczna, Rajkowo, Kołbaskowo, policki, zachodniopomorskie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,zachodniopomorskie,2025
113,799000.0,124.5,5.0,"ul. Serdeczna, Zalasewo, Swarzędz, poznański, wielkopolskie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,wielkopolskie,2025
115,1378746.3333333333,119.28,5.0,"ul. Wiśniowa, Mokronos Dolny, Kąty Wrocławskie, wrocławski, dolnośląskie",pompa ciepła,pierwotny,deweloper,bliźniak,2023,plastikowe,cegła,house,dolnośląskie,2025
116,760000.0,96.04,4.0,"ul. Kwiatowa, Łazy, Lesznowola, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,szeregowiec,2025,plastikowe,cegła,house,mazowieckie,2025
117,822333.3333333334,122.47,5.0,"Grodziska, Stara Wieś, Nadarzyn, pruszkowski, mazowieckie",pompa ciepła,pierwotny,deweloper,wolnostojący,2024,plastikowe,cegła,house,mazowieckie,2025
118,1163000.0,134.0,5.0,"ul. Krótka, Głosków, Piaseczno, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
119,1129000.0,112.0,4.0,"ul. Malwy, Nowa Wola, Lesznowola, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
120,775000.0,91.7,4.0,"ul. Sadowa, Kolonia Brużyca, Aleksandrów Łódzki, zgierski, łódzkie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,łódzkie,2025
122,1555000.0,161.37,6.0,"Turawska, Księże, Krzyki, Wrocław, dolnośląskie",gazowe,pierwotny,biuro nieruchomości,bliźniak,2024,plastikowe,cegła,house,dolnośląskie,2025
124,1066000.0,111.97,4.0,"ul. Kozielska, Wojska Polskiego, Gliwice, śląskie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,pustak,house,śląskie,2025
125,1016607.0,95.01,4.0,"ul. Michała Wołodyjowskiego, Maślice, Fabryczna, Wrocław, dolnośląskie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,dolnośląskie,2025
126,395000.0,95.0,2.0,"ul. Sadowa, Świętoszówka, Jasienica, bielski, śląskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,1959,plastikowe,drewno,house,śląskie,2025
128,550000.0,88.0,4.0,"Wołów, Wołów, wołowski, dolnośląskie",pompa ciepła,pierwotny,biuro nieruchomości,bliźniak,2024,plastikowe,pustak,house,dolnośląskie,2025
130,749000.0,84.96,4.0,"ul. Poprzeczna, Lesznowola, Lesznowola, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
131,269000.0,180.0,5.0,"Szczebrzeszyn, Szczebrzeszyn, zamojski, lubelskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,drewniane,pustak,house,lubelskie,2025
132,480000.0,144.53,4.0,"Dąbrówki, Czarna, łańcucki, podkarpackie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2025,plastikowe,cegła,house,podkarpackie,2025
133,1159000.0,131.09,5.0,"ul. Krótka, Stara Iwiczna, Lesznowola, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
134,649000.0,128.0,5.0,"ul. Sosnowe Wzgórza, Bojano, Szemud, wejherowski, pomorskie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,pomorskie,2025
135,660000.0,200.0,5.0,"Ostróda, ostródzki, warmińsko-mazurskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,drewniane,pustak,house,warmińsko-mazurskie,2025
136,819000.0,93.97,5.0,"ul. Janczewicka, Słomin, Raszyn, pruszkowski, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,mazowieckie,2025
137,1089000.0,142.59,6.0,"ul. Krzywa, Jazgarzewszczyzna, Lesznowola, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,mazowieckie,2025
138,749000.0,86.13,4.0,"ul. Zielona, Podolszyn, Lesznowola, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
139,1499000.0,156.92,4.0,"Buchałowice, Kurów, puławski, lubelskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2020,plastikowe,pustak,house,lubelskie,2025
140,550000.0,182.0,6.0,"Strzegom, Strzegom, świdnicki, dolnośląskie",inne,wtórny,biuro nieruchomości,wolnostojący,2023,plastikowe,pustak,house,dolnośląskie,2025
141,690000.0,105.07,3.0,"ul. Zimowa, Nadolice Małe, Czernica, wrocławski, dolnośląskie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,dolnośląskie,2025
142,709000.0,79.04,4.0,"ul. Szklarniowa, Sulejówek, miński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,mazowieckie,2025
143,874666.6666666666,91.57,4.0,"ul. Sympatyczna, Rajkowo, Kołbaskowo, policki, zachodniopomorskie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,zachodniopomorskie,2025
144,730000.0,92.51,5.0,"ul. Krótka, Głosków, Piaseczno, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2024,plastikowe,cegła,house,mazowieckie,2025
145,794000.0,91.9,4.0,"ul. Dąbrówki, Mysłowice, śląskie",pompa ciepła,pierwotny,deweloper,bliźniak,2024,plastikowe,pustak,house,śląskie,2025
146,1159000.0,131.09,5.0,"ul. Krótka, Stara Iwiczna, Lesznowola, piaseczyński, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,mazowieckie,2025
147,1150000.0,127.5,4.0,"Bożnów, Żagań, żagański, lubuskie",gazowe,wtórny,biuro nieruchomości,gospodarstwo,1920,drewniane,cegła,house,lubuskie,2025
148,1603800.0,181.1,6.0,"ul. Podróżnicza, Henryków, Białołęka, Warszawa, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,mazowieckie,2025
149,1516153.3333333333,133.53,5.0,"ul. Kozielska, Wojska Polskiego, Gliwice, śląskie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,pustak,house,śląskie,2025
150,959000.0,95.13,4.0,"ul. Strażacka, Widawa, Psie Pole, Wrocław, dolnośląskie",pompa ciepła,pierwotny,deweloper,bliźniak,2025,plastikowe,cegła,house,dolnośląskie,2025
151,1169666.6666666667,152.48,5.0,"ul. Żywiczna, Henryków, Białołęka, Warszawa, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,mazowieckie,2025
152,1199000.0,137.35,5.0,"ul. Architektów, Duchnice, Ożarów Mazowiecki, warszawski zachodni, mazowieckie",pompa ciepła,pierwotny,deweloper,bliźniak,2026,plastikowe,cegła,house,mazowieckie,2025
153,1187000.0,146.26,5.0,"ul. Wiejska, Stare Gliwice, Gliwice, śląskie",pompa ciepła,pierwotny,deweloper,bliźniak,2022,plastikowe,cegła,house,śląskie,2025
154,736199.0,103.69,5.0,"Łukaszewska 42/44, Stare Moskule, Widzew, Łódź, łódzkie",pompa ciepła,pierwotny,deweloper,szeregowiec,2023,plastikowe,pustak,house,łódzkie,2025
156,1250000.0,80.0,2.0,"Niepołomice, Niepołomice, wielicki, małopolskie",gazowe,wtórny,biuro nieruchomości,wolnostojący,2023,drewniane,pustak,house,małopolskie,2025
