URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/kawalerka-zabrze-goethego-18-scisle-centrum-ID4we4J,259 000 zł,7 507 zł/m²,"ul. Johanna Goethego, Śródmieście, Zabrze, śląskie",34.5m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-27m2-ID4uVVY,Brak danych,Brak danych,"ul. Kaszubska, Oliwa, Gdańsk, pomorskie",27m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-z-klimatem-grzegorzki-ID4we25,570 000 zł,15 659 zł/m²,"Grzegórzki, Grzegórzki, Kraków, małopolskie",36.4m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1970,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/wawer-kawalerka-ogrodkiem-36m2-ID4wdLG,425 140 zł,15 404 zł/m²,"ul. Zwoleńska, Zerzeń, Wawer, Warszawa, mazowieckie",27.6m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-ogrodek-ID4unSj,Brak danych,Brak danych,"ul. Czerwone Maki, Ruczaj, Dębniki, Kraków, małopolskie",28.78m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4ubrm,284 959 zł,10 373 zł/m²,"ul. Promenada, Dopiewiec, Dopiewo, poznański, wielkopolskie",27.47m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-1-pokoj-apartament-balkon-ul-wroclawska-ID4wdSC,539 000 zł,19 911 zł/m²,"ul. Wrocławska 53C, Krowodrza, Krowodrza, Kraków, małopolskie",27.07m²,1 pokój,miejskie,wtórny,prywatny,2018,apartamentowiec,plastikowe,cegła
https://www.otodom.pl/pl/oferta/osiedle-lososiowa-mieszkanie-1-pok-3-ID4lMEw,Brak danych,Brak danych,"ul. Łososiowa, Radogoszcz, Bałuty, Łódź, łódzkie",29.06m²,1 pokój,brak informacji,pierwotny,deweloper,2025,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/okazja-kawalerka-w-plocku-mozliwe-2-pokoje-ID4wfzd,262 000 zł,9 034 zł/m²,"Płock, mazowieckie",29m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-taras-bez-posrednikow-ID4uahh,Brak danych,Brak danych,"pl. Piastów, Śródmieście, Gliwice, śląskie",30.38m²,1 pokój,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-duza-kawalerka-ID4uxJJ,287 000 zł,7 553 zł/m²,"Łomża, podlaskie",38m²,1 pokój,miejskie,wtórny,prywatny,1980,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/mikrokawalerkawyposazonastare-miastorobotnicza-ID4wcVC,259 000 zł,17 267 zł/m²,"ul. Robotnicza, Szczepin, Stare Miasto, Wrocław, dolnośląskie",15m²,1 pokój,elektryczne,wtórny,biuro nieruchomości,Brak danych,Brak danych,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-ogrodek-ID4uaSI,415 013 zł,11 302 zł/m²,"ul. Koszalińska, Strzeszyn, Jeżyce, Poznań, wielkopolskie",36.72m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-na-parterze-wejscie-z-ulicy-ID4w9hK,199 000 zł,8 027 zł/m²,"ul. Fabryczna, Wilda, Wilda, Poznań, wielkopolskie",24.79m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/kawalerka-lokal-25m2-w-centrum-ID4weyD,585 000 zł,23 391 zł/m²,"ul. Krowoderska, Kleparz, Stare Miasto, Kraków, małopolskie",25.01m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-po-generalnym-remoncie-ID4wdV9,472 500 zł,17 500 zł/m²,"ul. Grabiszyńska, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie",27m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1972,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/apartament-35-m2-ivp-centrum-ul-kaczynskiego-ID4uAeS,458 640 zł,13 000 zł/m²,"ul. Prezydenta Lecha Kaczyńskiego, Śródmieście, Kielce, świętokrzyskie",35.28m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2023,Brak danych,plastikowe,cegła
https://www.otodom.pl/pl/oferta/super-kawalerka-w-srodmiesciu-ID4uuej,210 000 zł,7 343 zł/m²,"Marszałka Józefa Piłsudskiego, Ostrołęka, mazowieckie",28.6m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1980,blok,plastikowe,pustak
https://www.otodom.pl/pl/oferta/przestronny-salon-centrum-oddane-do-uzytku-ID4weRW,490 146 zł,15 100 zł/m²,"ul. Komuny Paryskiej, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",32.46m²,1 pokój,brak informacji,pierwotny,biuro nieruchomości,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bez-prowizji-ID4uai3,Brak danych,Brak danych,"ul. Ługowa, Mszczonów, Mszczonów, żyrardowski, mazowieckie",28.58m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
