URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4uiGM,498 440 zł,17 000 zł/m²,"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",29.32m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-ID4uRO6,Brak danych,Brak danych,"ul. Szczotkarska, Jelonki Południowe, Bemowo, Warszawa, mazowieckie",30.41m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-idealne-na-start-lub-inwestycje-ID4wfdI,254 000 zł,7 900 zł/m²,"Spalice, Oleśnica, oleśnicki, dolnośląskie",32.15m²,1 pokój,brak informacji,pierwotny,biuro nieruchomości,2024,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-pod-inwestycje-na-nowej-pradze-ID4uOeJ,440 000 zł,17 586 zł/m²,"ul. Karola Darwina, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",25.02m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1963,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/kawalerka-26-03-mkw-w-global-apartments-katowice-ID4smAW,354 000 zł,13 600 zł/m²,"ul. Zabrska, Śródmieście, Katowice, śląskie",26.03m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2024,apartamentowiec,plastikowe,inny
https://www.otodom.pl/pl/oferta/kawalerka-bedzin-warpie-ID4wcZv,205 000 zł,6 312 zł/m²,"Będzin, będziński, śląskie",32.48m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-loggia-ID4u9H4,Brak danych,Brak danych,"os. Lotnictwa Polskiego, Wola, Jeżyce, Poznań, wielkopolskie",27.2m²,1 pokój,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-bezposrednio-ID4ufS2,442 314 zł,13 048 zł/m²,"ul. płk. dr. Stanisława Więckowskiego, Centrum, Śródmieście, Łódź, łódzkie",33.9m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/oh-i-ah-co-za-lokalizacja-serce-poznania-ID4wetH,403 000 zł,10 495 zł/m²,"ul. Długa, Centrum, Stare Miasto, Poznań, wielkopolskie",38.4m²,1 pokój,gazowe,wtórny,biuro nieruchomości,Brak danych,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/kawalerki-dla-inwestora-obok-neptuna-dni-otwart-ID4wdzA,362 900 zł,13 958 zł/m²,"Śródmieście, Gdańsk, pomorskie",26m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/inwestycyjne-od-razu-z-najemca-nowe-1950zl-za-1m-ID4wfxA,318 747 zł,14 403 zł/m²,"Partynice, Krzyki, Wrocław, dolnośląskie",22.13m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2024,apartamentowiec,plastikowe,silikat
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-39m2-balkon-ID4uimH,Brak danych,Brak danych,"ul. gen. Władysława Andersa, Ząbki, wołomiński, mazowieckie",39.57m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/wyspa-spichrzow-inwestycja-ktora-oczaruje-ID4tk59,729 900 zł,26 379 zł/m²,"ul. Chmielna 109, Śródmieście, Gdańsk, pomorskie",27.67m²,1 pokój,miejskie,wtórny,prywatny,2024,apartamentowiec,drewniane,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-bez-posrednikow-ID4ubeZ,Brak danych,Brak danych,"ul. Konopacka 12, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",25.49m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/gotowe-1-pokojowe-mieszkanie-30m2-balkon-ID4ulc9,619 000 zł,20 150 zł/m²,"Długa/ul. Gnieźnieńska, Szczepin, Stare Miasto, Wrocław, dolnośląskie",30.72m²,1 pokój,brak informacji,pierwotny,deweloper,2023,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-loggia-bez-prowizji-ID4uor6,1 004 000 zł,35 031 zł/m²,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",28.66m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4uhkB,292 726 zł,9 800 zł/m²,"ul. Teatralna, Centrum / Śródmieście, Sosnowiec, śląskie",29.87m²,1 pokój,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bezposrednio-ID4ul1J,298 448 zł,9 200 zł/m²,"ul. Jachtowa, Luboń, poznański, wielkopolskie",32.44m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/okazja-srodmiescie-35m-z-balkonem-pwinica-ID4w5FL,499 000 zł,14 136 zł/m²,"Rakowice, Prądnik Czerwony, Kraków, małopolskie",35.3m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1965,blok,Brak danych,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bez-prowizji-ID4uax8,Brak danych,Brak danych,"ul. św. Piotra, Śródmieście, Gdynia, pomorskie",37.32m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bezposrednio-ID4ugaa,Brak danych,Brak danych,"ul. Racławicka, Krowodrza, Krowodrza, Kraków, małopolskie",26.04m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-inwestycyjna-ID4uYQr,510 000 zł,16 887 zł/m²,"ul. Szaserów, Grochów, Praga-Południe, Warszawa, mazowieckie",30.2m²,1 pokój,miejskie,wtórny,prywatny,2001,plomba,plastikowe,beton
https://www.otodom.pl/pl/oferta/kawalerka-36m-koziny-ID4u61X,325 000 zł,9 028 zł/m²,"Koziny, Koziny, Polesie, Łódź, łódzkie",36m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/zainwestuj-w-szczecinie-i-zarabiaj-caly-rok-ID4ucDI,550 638 zł,14 850 zł/m²,"Łasztownia, Śródmieście, Szczecin, zachodniopomorskie",37.08m²,1 pokój,brak informacji,pierwotny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/urzadzona-kawalerka-29-77m2-targowek-oliwska-ID4wf6E,489 000 zł,16 426 zł/m²,"ul. Oliwska, Bródno, Targówek, Warszawa, mazowieckie",29.77m²,1 pokój,elektryczne,wtórny,biuro nieruchomości,1956,kamienica,Brak danych,cegła
https://www.otodom.pl/pl/oferta/mieszkanie-nr-2-ID4oaAr,617 100 zł,16 500 zł/m²,"ul. Peowiaków, Śródmieście, Lublin, lubelskie",37.4m²,1 pokój,kotłownia,pierwotny,deweloper,2025,apartamentowiec,aluminiowe,beton
https://www.otodom.pl/pl/oferta/kawalerki-francuska-wojewodzka-ID4tfum,156 853 zł,10 100 zł/m²,"Koszutka, Katowice, śląskie",15.53m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/2-pok-przy-plantach-wyremontowane-ul-wenecja-ID4uGgZ,860 000 zł,24 022 zł/m²,"ul. Wenecja, Piasek, Stare Miasto, Kraków, małopolskie",35.8m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1933,kamienica,Brak danych,cegła
https://www.otodom.pl/pl/oferta/krakow-plaszow-ul-lasowka-38-m2-1-pokoj-klima-ID4uGmr,569 000 zł,14 974 zł/m²,"ul. Lasówka, Płaszów, Podgórze, Kraków, małopolskie",38m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1992,Brak danych,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bezposrednio-ID4uGar,Brak danych,Brak danych,"ul. Chylońska, Cisowa, Gdynia, pomorskie",26.05m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/urocza-kawalerka-na-kazimierza-wielkiego-os-piask-ID4wfuk,255 000 zł,7 727 zł/m²,"Piaski, Gorzów Wielkopolski, lubuskie",33m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/kawalerka-umeblowana-i-wyposazona-widok-w-cenie-ID4w4QL,320 000 zł,9 846 zł/m²,"ul. Bolesława Limanowskiego, Żubardź, Bałuty, Łódź, łódzkie",32.5m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-bez-prowizji-ID4ugH7,328 868 zł,12 557 zł/m²,"Czerska/ul. Władysława Jagiełły, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie",26.19m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-z-balkonem-500m-do-morza-ID4w2x2,425 000 zł,15 071 zł/m²,"Kołobrzeg, kołobrzeski, zachodniopomorskie",28.2m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1968,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4ua49,Brak danych,Brak danych,"ul. Słoneczna, Marki, wołomiński, mazowieckie",29.73m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/przytulna-kawalerka-antresola-lodz-srodmiescie-c-o-ID4weFe,165 000 zł,12 222 zł/m²,"Centrum, Śródmieście, Łódź, łódzkie",13.5m²,1 pokój,inne,wtórny,biuro nieruchomości,1920,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-loggia-bezposrednio-ID4udY4,Brak danych,Brak danych,"ul. Hawelańska, Winogrady, Stare Miasto, Poznań, wielkopolskie",33.62m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-taras-bez-posrednikow-ID4uhH9,Brak danych,Brak danych,"ul. Podwale Przedmiejskie, Śródmieście, Gdańsk, pomorskie",33.42m²,1 pokój,brak informacji,pierwotny,deweloper,2023,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-nr-8-w-nowym-budynku-asnyka-41-ID4wfdl,373 741 zł,9 700 zł/m²,"ul. Adama Asnyka, Czaszki, Kalisz, wielkopolskie",38.53m²,1 pokój,miejskie,pierwotny,deweloper,2026,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-z-antresola-ogrodek-amortyzacja-z-vat-ID4p07E,125 900 zł,5 036 zł/m²,"ul. gen. Władysława Sikorskiego, Brodnica, brodnicki, kujawsko-pomorskie",25m²,1 pokój,kotłownia,pierwotny,biuro nieruchomości,2024,apartamentowiec,plastikowe,beton komórkowy
https://www.otodom.pl/pl/oferta/swpdl-idealne-mieszkanie-pod-pierwsza-inwestycje-ID4u7PF,330 000 zł,12 941 zł/m²,"ul. Chwarznieńska, Chwarzno, Gdynia, pomorskie",25.5m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1980,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-1-pokojowe-43-5-m-kw-z-logia-ID4tAEo,696 000 zł,16 000 zł/m²,"ul. Władysława Witwickiego, Gocław, Praga-Południe, Warszawa, mazowieckie",43.5m²,1 pokój,miejskie,wtórny,prywatny,1999,blok,drewniane,cegła
https://www.otodom.pl/pl/oferta/kawalerka-z-ogrodkiem25m2top-lokalizacjarabaty-ID4uVCO,354 646 zł,14 001 zł/m²,"Winogrady, Stare Miasto, Poznań, wielkopolskie",25.33m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-przy-promenadzie-ID4t3iG,999 000 zł,26 009 zł/m²,"Świnoujście, zachodniopomorskie",38.41m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2009,apartamentowiec,Brak danych,cegła
