URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/inwestycyjna-kawalerka-tylko-do-28-02-mega-rabat-ID4wfyU,287 648 zł,10 354 zł/m²,"ul. Zielona, Stare Polesie, Polesie, Łódź, łódzkie",27.78m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,apartamentowiec,plastikowe,inny
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-40m2-ogrodek-bezposrednio-ID4upbu,Brak danych,Brak danych,"ul. Piasta Kołodzieja, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",40.3m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-ID4ubqm,282 054 zł,10 320 zł/m²,"ul. Promenada, Dopiewiec, Dopiewo, poznański, wielkopolskie",27.33m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-z-osobna-kuchnia-ID4uyiJ,410 000 zł,14 089 zł/m²,"os. Złotego Wieku, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",29.1m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1980,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/tramwaj-blisko-parku-sprawdz-ID4weAw,545 000 zł,15 996 zł/m²,"ul. Zbaraska, Grochów, Praga-Południe, Warszawa, mazowieckie",34.07m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1973,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-ID4u8ST,Brak danych,Brak danych,"ul. Grzybki, Stare Podgórze, Podgórze, Kraków, małopolskie",34.55m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/jasna-kawalerka-z-osobna-kuchnia-i-duzym-balkonem-ID4uZIk,540 000 zł,15 341 zł/m²,"ul. Marii i Bolesława Wysłouchów, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",35.2m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1987,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/sekretne-miejsce-w-srodku-lasu-200-metrow-od-morza-ID4t1G4,770 472 zł,23 130 zł/m²,"ul. Sosnowa, Hel, pucki, pomorskie",33.31m²,1 pokój,brak informacji,pierwotny,biuro nieruchomości,2024,apartamentowiec,Brak danych,cegła
https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-35m2-ID4weu3,388 573 zł,10 949 zł/m²,"ul. Kwiatowa, Mysłowice, śląskie",35.49m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,pustak
https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-na-grunwaldzie-ul-marcelinska-ID4wcCH,369 000 zł,13 836 zł/m²,"ul. Marcelińska, Ostroróg, Grunwald, Poznań, wielkopolskie",26.67m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/praga-studio-lokal-inw-1-pok-46-ID4pwPD,323 770 zł,20 085 zł/m²,"ul. Zgierska 1, Grochów, Praga-Południe, Warszawa, mazowieckie",16.12m²,1 pokój,miejskie,pierwotny,deweloper,2025,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-ogrodek-bez-prowizji-ID4umYN,592 775 zł,18 100 zł/m²,"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",32.75m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-40m2-balkon-bezposrednio-ID4uunO,1 098 000 zł,27 232 zł/m²,"ul. Stefana Okrzei, Stara Praga, Praga-Północ, Warszawa, mazowieckie",40.32m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-taras-bezposrednio-ID4ujSw,513 027 zł,15 790 zł/m²,"ul. Leona Heyki, Międzyodrze-Wyspa Pucka, Śródmieście, Szczecin, zachodniopomorskie",32.49m²,1 pokój,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/duza-kawalerka-wlasnosciowe-z-kw-ID4rZ0P,243 000 zł,7 488 zł/m²,"ul. Łęczyńska, Tatary, Lublin, lubelskie",32.45m²,1 pokój,elektryczne,wtórny,biuro nieruchomości,Brak danych,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-ogrodek-ID4ugPI,Brak danych,Brak danych,"ul. Jabłoniowa, Piaseczno, Piaseczno, piaseczyński, mazowieckie",35.73m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/dom-35-m2-nad-jeziorem-skolickim-dni-otwarte-8-03-ID4uvwD,220 000 zł,6 286 zł/m²,"Śródmieście, Olsztyn, warmińsko-mazurskie",35m²,1 pokój,elektryczne,wtórny,prywatny,2023,dom wolnostojący,plastikowe,drewno
https://www.otodom.pl/pl/oferta/przytulna-kawalerka-na-bezrzeczu-ID4uUl3,360 000 zł,11 146 zł/m²,"Bezrzecze, Dobra (Szczecińska), policki, zachodniopomorskie",32.3m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2002,blok,Brak danych,cegła
https://www.otodom.pl/pl/oferta/550m-do-metro-wawrzyszew-ID4w3Ag,439 754 zł,16 979 zł/m²,"ul. Williama Szekspira, Wawrzyszew, Bielany, Warszawa, mazowieckie",25.9m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1975,blok,plastikowe,wielka płyta
