URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4usTT,Brak danych,Brak danych,"ul. Dowborczyków, Fabryczna Widzew, Widzew, Łódź, łódzkie",34.23m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/wygodna-kawalerka-blisko-parku-ID4wa4e,385 000 zł,14 366 zł/m²,"ul. Inżynierska, Grabiszyn, Fabryczna, Wrocław, dolnośląskie",26.8m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1980,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/lokal-inwestycyjny-w-samym-centrum-gdanska-ID4wd1f,321 448 zł,12 026 zł/m²,"ul. Siennicka, Śródmieście, Gdańsk, pomorskie",26.73m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,Brak danych,Brak danych,inny
https://www.otodom.pl/pl/oferta/kawalerka-28m2-rakowiec-blisko-wum-ID4uxn7,469 000 zł,16 750 zł/m²,"ul. Mołdawska, Rakowiec, Ochota, Warszawa, mazowieckie",28m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1985,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/starowiejska-3-mieszkanie-1-pok-1-11-ID4rkLT,Brak danych,Brak danych,"ul. Starowiejska 3, Śródmieście, Katowice, śląskie",20.4m²,1 pokój,brak informacji,pierwotny,deweloper,2026,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/35m2-do-remontu-idealna-inwestycja-biezanow-ID4w9hC,479 000 zł,13 647 zł/m²,"ul. Mała Góra, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",35.1m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1978,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/mieszkanie-nr-3-ID4oaAF,Brak danych,Brak danych,"ul. Peowiaków, Śródmieście, Lublin, lubelskie",36.53m²,1 pokój,kotłownia,pierwotny,deweloper,2025,apartamentowiec,aluminiowe,beton
https://www.otodom.pl/pl/oferta/starowka-ID4uvQB,799 900 zł,22 288 zł/m²,"ul. Stara, Nowe Miasto, Śródmieście, Warszawa, mazowieckie",35.89m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1956,kamienica,drewniane,cegła
https://www.otodom.pl/pl/oferta/kawalerka-przy-placu-wolnosci-tylko-do-28-02-rabat-ID4wdiy,262 626 zł,10 140 zł/m²,"ul. Legionów, Stare Polesie, Polesie, Łódź, łódzkie",25.9m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2026,apartamentowiec,plastikowe,inny
https://www.otodom.pl/pl/oferta/mieszkanie-38-30-m-dziwiszow-ID4uT3v,305 000 zł,7 963 zł/m²,"Dziwiszów 1D, Dziwiszów, Jeżów Sudecki, karkonoski, dolnośląskie",38.3m²,1 pokój,gazowe,wtórny,prywatny,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/inwestycyjna-kawalerka-tylko-do-28-02-mega-rabat-ID4wdji,259 653 zł,10 190 zł/m²,"ul. Zielona, Stare Polesie, Polesie, Łódź, łódzkie",25.48m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,apartamentowiec,plastikowe,inny
https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-z-balkonem-i-piwnica-ID4wcM2,149 000 zł,5 955 zł/m²,"ul. Władysława Broniewskiego, Piaskowa Góra, Wałbrzych, dolnośląskie",25.02m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-25m2-balkon-ID4uEVS,Brak danych,Brak danych,"ul. Twarda, Młyniska, Gdańsk, pomorskie",25.58m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-piaskowa-gora-balkon-ID4wcye,189 000 zł,7 269 zł/m²,"Piaskowa Góra, Wałbrzych, dolnośląskie",26m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-40m2-ogrodek-ID4ulY0,806 800 zł,20 020 zł/m²,"ul. Jana Dekerta, Zabłocie, Podgórze, Kraków, małopolskie",40.3m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-w-gdansku-wysoki-zwrot-zero-wysilku-ID4uYNx,370 304 zł,14 080 zł/m²,"Śródmieście, Gdańsk, pomorskie",26.3m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,pustak
https://www.otodom.pl/pl/oferta/prokocim-atrakcyjne-mieszkanie-1-pokojowe-32-m2-ID4uuBH,459 000 zł,14 434 zł/m²,"ul. Konrada Wallenroda, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",31.8m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1977,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-43m2-loggia-ID4uA0g,Brak danych,Brak danych,"ul. Walońska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",43.04m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-bez-posrednikow-ID4ugaw,Brak danych,Brak danych,"ul. Bartosza Głowackiego, Bronowice, Bronowice, Kraków, małopolskie",30.96m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-ogrodek-ID4ugxj,Brak danych,Brak danych,"ul. Powstańców Warszawskich, Siedlce, Gdańsk, pomorskie",33.5m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/apartament-46-45-m2-w-sasiedztwie-piotrkowskiej-ID4weqk,614 909 zł,13 238 zł/m²,"Centrum, Śródmieście, Łódź, łódzkie",46.45m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2024,kamienica,drewniane,inny
https://www.otodom.pl/pl/oferta/apartament-widokowy-open-space-gory-jezioro-sauna-ID4jt9R,900 000 zł,19 149 zł/m²,"Laguna Beskidów, Zarzecze, Łodygowice, żywiecki, śląskie",47m²,1 pokój,brak informacji,pierwotny,prywatny,2022,apartamentowiec,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/warszawa-wlochy-kawalerka-dla-zakochanych-ID4wdRM,450 000 zł,14 563 zł/m²,"ul. Apartamentowa, Skorosze, Ursus, Warszawa, mazowieckie",30.9m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2001,blok,plastikowe,beton komórkowy
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-bez-prowizji-ID4ua7N,270 480 zł,9 800 zł/m²,"ul. Maratońska, Retkinia, Polesie, Łódź, łódzkie",27.6m²,1 pokój,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4uo46,685 440 zł,18 571 zł/m²,"ul. Pabianicka, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie",36.91m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/m1-w-zorach-vi-twoje-nowe-m-ID4nwOD,259 720 zł,8 600 zł/m²,"ul. Promienna, Żory, śląskie",30.2m²,1 pokój,gazowe,pierwotny,deweloper,2023,apartamentowiec,plastikowe,pustak
https://www.otodom.pl/pl/oferta/apartament-czorsztyn-a02-ID4w43j,507 000 zł,20 119 zł/m²,"Kluszkowce, Czorsztyn, nowotarski, małopolskie",25.2m²,1 pokój,brak informacji,pierwotny,biuro nieruchomości,2025,apartamentowiec,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kolobrzeg-podczele-kawalerka-na-sprzedaz-okazja-ID4tZPM,399 000 zł,15 346 zł/m²,"ul. Lwowska, Kołobrzeg, kołobrzeski, zachodniopomorskie",26m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2020,apartamentowiec,drewniane,pustak
https://www.otodom.pl/pl/oferta/kamienica-z-winda-obok-metra-ID4wdSM,669 000 zł,16 482 zł/m²,"al. Aleja Niepodległości, Wierzbno, Mokotów, Warszawa, mazowieckie",40.59m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,1957,Brak danych,drewniane,Brak danych
https://www.otodom.pl/pl/oferta/hit-mieszkanie-w-centrum-bialegostoku-ID4wcdi,320 000 zł,8 700 zł/m²,"ul. Aleja Józefa Piłsudskiego, Centrum, Białystok, podlaskie",36.78m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1961,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/ul-dwernickiego-kawalerka-w-swietnym-punkcie-ID4wewn,400 000 zł,13 793 zł/m²,"ul. Józefa Dwernickiego, Grochów, Praga-Południe, Warszawa, mazowieckie",29m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1950,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/mieszkanie-z-winda-w-centrum-kazimierza-pl-nowy-en-ID4uWaC,979 000 zł,24 414 zł/m²,"ul. Jonatana Warszauera, Kazimierz, Stare Miasto, Kraków, małopolskie",40.1m²,1 pokój,elektryczne,wtórny,biuro nieruchomości,Brak danych,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/nowe-i-urzadzone-do-wprowadzenia-scisle-centrum-ID4w2S6,359 000 zł,11 967 zł/m²,"ul. Jana Kilińskiego 166, Centrum, Śródmieście, Łódź, łódzkie",30m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1920,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/i-pietro-bez-prowizji-do-zamieszkania-ID4uYvn,299 000 zł,8 413 zł/m²,"ul. Giermków, Elbląg, warmińsko-mazurskie",35.54m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1957,kamienica,plastikowe,cegła
