URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/kawalerka-w-stanie-deweloperskim-ID4tSx5,349 000 zł,12 554 zł/m²,"ul. Urocza, Drabinianka, Rzeszów, podkarpackie",27.8m²,1 pokój,gazowe,pierwotny,prywatny,2022,blok,plastikowe,pustak
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bez-prowizji-ID4uhlq,350 620 zł,9 400 zł/m²,"ul. Teatralna, Centrum / Śródmieście, Sosnowiec, śląskie",37.3m²,1 pokój,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-przy-browarach-warszawskich-roi-9-ID4wf25,980 000 zł,36 296 zł/m²,"ul. Krochmalna, Mirów, Wola, Warszawa, mazowieckie",27m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2021,apartamentowiec,Brak danych,cegła
https://www.otodom.pl/pl/oferta/w-centrum-miasta-na-wynajem-roi-7-2-ID4uWOa,599 610 zł,17 250 zł/m²,"ul. Chocimska, Nowa Wieś, Krowodrza, Kraków, małopolskie",34.76m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-dla-inwestora-bezpcc-i-prowizji-ID4wf0e,313 700 zł,11 204 zł/m²,"Wiczlino, Gdynia, pomorskie",28m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4uiaf,403 100 zł,13 900 zł/m²,"ul. Mochtyńska, Kobiałka, Białołęka, Warszawa, mazowieckie",29m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-inwestycyjnie-do-remontu-ID4wdqn,299 000 zł,13 230 zł/m²,"ul. gen. Leopolda Okulickiego, Zawidawie, Psie Pole, Wrocław, dolnośląskie",22.6m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1980,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/mieszkanie-na-parterze-przy-parku-ID4wfaW,160 000 zł,4 211 zł/m²,"ul. Bytomska, Piekary Śląskie, śląskie",38m²,1 pokój,elektryczne,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/kawalerki-francuska-wojewodzka-ID4tfuh,156 247 zł,10 100 zł/m²,"Śródmieście, Katowice, śląskie",15.47m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,Brak danych,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-bez-posrednikow-ID4uorF,1 194 000 zł,38 529 zł/m²,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",30.99m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
