URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-30m2-bez-prowizji-ID4uhHJ,Brak danych,Brak danych,"ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie",30.49m²,1 pokój,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-loggia-bez-prowizji-ID4ulgB,598 999 zł,18 556 zł/m²,"Długa/ul. Gnieźnieńska, Szczepin, Stare Miasto, Wrocław, dolnośląskie",32.28m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-miasta-ID4wdww,455 000 zł,16 852 zł/m²,"Stare Miasto, Bydgoszcz, kujawsko-pomorskie",27m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2024,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/miasto-ogrod-wlochy-gotowa-kawalerka-ID4rIAK,495 000 zł,19 321 zł/m²,"ul. Potrzebna, Nowe Włochy, Włochy, Warszawa, mazowieckie",25.62m²,1 pokój,inne,pierwotny,deweloper,2024,blok,plastikowe,inny
https://www.otodom.pl/pl/oferta/kawalerka-29-07-m2-miejsce-postojowe-i-komorka-ID4qhu6,265 000 zł,9 116 zł/m²,"al. Górników Staszicowskich, Białogon, Kielce, świętokrzyskie",29.07m²,1 pokój,gazowe,wtórny,prywatny,Brak danych,kamienica,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-sobiecin-ID4uYTZ,129 000 zł,3 199 zł/m²,"Sobięcin, Wałbrzych, dolnośląskie",40.32m²,1 pokój,inne,wtórny,biuro nieruchomości,Brak danych,kamienica,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-25m2-loggia-ID4uiLo,421 662 zł,16 363 zł/m²,"ul. Energetyków, Koszutka, Katowice, śląskie",25.77m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/chmielna-duo-mieszkanie-1-pok-b1-57-ID4nYBE,1 385 000 zł,31 883 zł/m²,"ul. Chmielna, Mirów, Wola, Warszawa, mazowieckie",43.44m²,1 pokój,inne,pierwotny,deweloper,2025,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/duza-kawalerka-46-5-m2-na-parterze-ul-chopina-3-ID4ttGo,250 000 zł,5 376 zł/m²,"ul. Fryderyka Chopina, Śródmieście, Kalisz, wielkopolskie",46.5m²,1 pokój,gazowe,wtórny,biuro nieruchomości,1900,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/grzegorzki-5-min-do-centrum-m-postojowe-ID4uAxD,1 000 000 zł,21 057 zł/m²,"Grzegórzki, Grzegórzki, Kraków, małopolskie",47.49m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2023,apartamentowiec,drewniane,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-wieliczka-bez-prowizji-ID4wdms,466 364 zł,12 400 zł/m²,"ul. Dębowa, Czarnochowice, Wieliczka, wielicki, małopolskie",37.61m²,1 pokój,kotłownia,pierwotny,biuro nieruchomości,2026,blok,plastikowe,pustak
https://www.otodom.pl/pl/oferta/rogowo-kawalerka-blisko-morza-ID4puje,350 000 zł,13 619 zł/m²,"Mrzeżyno, Trzebiatów, gryficki, zachodniopomorskie",25.7m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1980,blok,plastikowe,inny
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-ogrodek-bezposrednio-ID4w0GO,Brak danych,Brak danych,"Magazynowa, Kowale, Kolbudy, gdański, pomorskie",28.85m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-32-4-m2-idealna-lokalizacja-przy-metrze-ID4weMx,580 000 zł,17 901 zł/m²,"ul. Aleksandra Kowalskiego 3, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",32.4m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-bezposrednio-ID4ueyp,356 385 zł,11 500 zł/m²,"ul. Objazdowa, Karolew, Polesie, Łódź, łódzkie",30.99m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-39-6-m2-2-pietro-ul-bankowa-5-ID4uCzH,240 000 zł,6 061 zł/m²,"ul. Bankowa, Śródmieście, Kalisz, wielkopolskie",39.6m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1960,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/mieszkanie-26-94-m-gdansk-ID4wd1k,323 100 zł,11 993 zł/m²,"ul. Mostek, Śródmieście, Gdańsk, pomorskie",26.94m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,Brak danych,Brak danych,inny
https://www.otodom.pl/pl/oferta/nowe-mieszkania-1-pokoj-ogrodek-27-7m2-23-vat-ID4wdYc,270 840 zł,11 100 zł/m²,"ul. Ligocka, Załęska Hałda-Brynów, Katowice, śląskie",24.4m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2026,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-piekar-slaskich-ID4wdOc,165 000 zł,4 472 zł/m²,"Piekary Śląskie, śląskie",36.9m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,1960,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-41m2-bezposrednio-ID4uorK,1 404 000 zł,33 500 zł/m²,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",41.91m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-taras-bezposrednio-ID4u9JP,Brak danych,Brak danych,"ul. Wólczańska, Centrum, Śródmieście, Łódź, łódzkie",26.1m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/centrum-wroclawia-po-remoncie-niski-czynsz-ID4ttUx,427 000 zł,14 233 zł/m²,"Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",30m²,1 pokój,elektryczne,wtórny,prywatny,1920,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/kawalerka-w-strzelcach-krajenskich-31m-centrum-ID4qKuz,169 000 zł,5 452 zł/m²,"Strzelce Krajeńskie, Strzelce Krajeńskie, strzelecko-drezdenecki, lubuskie",31m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/okazja-apartament-gotowy-w-grzybowie-blisko-plazy-ID4weYg,259 000 zł,11 991 zł/m²,"ul. Zielona, Grzybowo, Kołobrzeg, kołobrzeski, zachodniopomorskie",21.6m²,1 pokój,kotłownia,wtórny,biuro nieruchomości,1999,apartamentowiec,plastikowe,cegła
https://www.otodom.pl/pl/oferta/kawalerka-niedaleko-hali-banacha-ID4werS,440 000 zł,15 827 zł/m²,"Szczęśliwice, Ochota, Warszawa, mazowieckie",27.8m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1964,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-39-2-m2-w-poblizu-metra-wawrzyszew-ID4wcRS,686 000 zł,17 500 zł/m²,"ul. Wrzeciono, Wrzeciono, Bielany, Warszawa, mazowieckie",39.2m²,1 pokój,miejskie,wtórny,prywatny,2004,blok,drewniane,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-bezposrednio-ID4unnq,408 738 zł,12 100 zł/m²,"ul. Rzepakowa, Piotrowice-Ochojec, Katowice, śląskie",33.78m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-z-nowym-ogrzewaniem-0-prowizji-wilda-ID4wdkI,334 000 zł,9 653 zł/m²,"Wilda, Wilda, Poznań, wielkopolskie",34.6m²,1 pokój,inne,wtórny,biuro nieruchomości,Brak danych,kamienica,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/syndyk-sprzeda-warszawa-ul-dmochowskiego-ID4u5Uj,349 958 zł,17 104 zł/m²,"ul. Franciszka Ksawerego Dmochowskiego, Solec, Śródmieście, Warszawa, mazowieckie",20.46m²,1 pokój,brak informacji,wtórny,prywatny,Brak danych,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bezposrednio-ID4ulYV,499 112 zł,17 800 zł/m²,"ul. Myśliwska, Płaszów, Podgórze, Kraków, małopolskie",28.04m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-dobra-inwestycja-ID4wd4d,231 903 zł,8 100 zł/m²,"Środula, Sosnowiec, śląskie",28.63m²,1 pokój,gazowe,pierwotny,deweloper,2024,blok,plastikowe,pustak
https://www.otodom.pl/pl/oferta/kawalerka-ul-grabiszynska-idealna-na-start-ID4rns7,379 000 zł,15 028 zł/m²,"ul. Grabiszyńska, Gajowice, Fabryczna, Wrocław, dolnośląskie",25.22m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1970,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-39m2-balkon-bezposrednio-ID4uime,Brak danych,Brak danych,"ul. gen. Władysława Andersa, Ząbki, wołomiński, mazowieckie",39.57m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/przestronna-jasna-kawalerka-w-srodmiesciu-gdyni-ID420QF,490 000 zł,14 412 zł/m²,"ul. Antoniego Abrahama, Śródmieście, Gdynia, pomorskie",34m²,1 pokój,miejskie,wtórny,prywatny,1950,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-winda-przy-lesie-ID4we94,295 000 zł,10 536 zł/m²,"Tereny Nadwiślańskie, Bydgoszcz, kujawsko-pomorskie",28m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2019,blok,Brak danych,cegła
https://www.otodom.pl/pl/oferta/dobra-lokalizacja-w-czechowicach-dziedzicach-ID4uWFK,259 000 zł,7 235 zł/m²,"ul. Prosta, Czechowice-Dziedzice, Czechowice-Dziedzice, bielski, śląskie",35.8m²,1 pokój,kotłownia,wtórny,biuro nieruchomości,1980,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/kawalerka-z-potencjalem-ID4wb1W,195 000 zł,4 912 zł/m²,"ul. Dworcowa, Żagań, żagański, lubuskie",39.7m²,1 pokój,gazowe,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/przestronna-kawalerka-35-3-m2-kuchnia-po-remoncie-ID4weBe,239 000 zł,6 771 zł/m²,"ul. Orkana, Wrzosowiak, Częstochowa, śląskie",35.3m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1986,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/kompaktowy-apartament-na-wyspie-spichrzow-ID4wakz,819 300 zł,30 594 zł/m²,"ul. Chmielna, Śródmieście, Gdańsk, pomorskie",26.78m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2024,apartamentowiec,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-41m2-balkon-ID4ulTk,681 303 zł,16 617 zł/m²,"ul. Nowomiejska, Młyniska, Gdańsk, pomorskie",41m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-26m2-balkon-ID4uEN7,Brak danych,Brak danych,"ul. Mostek, Śródmieście, Gdańsk, pomorskie",26.19m²,1 pokój,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/ksiecia-witolda-przestronna-lawalerka-z-antresola-ID4waPJ,464 000 zł,14 500 zł/m²,"ul. Księcia Witolda, Nadodrze, Śródmieście, Wrocław, dolnośląskie",32m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,2012,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bezposrednio-ID4unOz,Brak danych,Brak danych,"ul. Kazimierza Wielkiego, Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie",32.98m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/lokal-inwestycyjny-w-samym-centrum-gdanska-ID4wd1h,321 431 zł,11 958 zł/m²,"ul. Siennicka, Śródmieście, Gdańsk, pomorskie",26.88m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,Brak danych,Brak danych,inny
https://www.otodom.pl/pl/oferta/bezposrednio-kawalerka-ogrod-garaz-komorka-metro-ID4uBVa,755 000 zł,21 178 zł/m²,"Lekka 3, Wawrzyszew, Bielany, Warszawa, mazowieckie",35.65m²,1 pokój,miejskie,wtórny,prywatny,2019,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/chmielna-duo-mieszkanie-1-pok-b1-16-ID4nYB4,1 312 000 zł,29 954 zł/m²,"ul. Chmielna, Mirów, Wola, Warszawa, mazowieckie",43.8m²,1 pokój,inne,pierwotny,deweloper,2025,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/przy-magnolia-park-dla-inwestora-vat-do-zwrotu-ID4waoX,330 000 zł,18 344 zł/m²,"ul. Legnicka, Popowice Południowe, Fabryczna, Wrocław, dolnośląskie",17.99m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-25m-pod-klucz-inwestycja-23-vat-ID4tTAy,430 000 zł,17 580 zł/m²,"ul. Antoniego Słonimskiego, Kleczków, Psie Pole, Wrocław, dolnośląskie",24.46m²,1 pokój,miejskie,wtórny,prywatny,2023,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/wybierz-apartament-z-widokiem-na-panorame-katowic-ID4wdsp,364 028 zł,13 789 zł/m²,"Koszutka, Katowice, śląskie",26.4m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2026,apartamentowiec,plastikowe,inny
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bezposrednio-ID4uhR8,Brak danych,Brak danych,"ul. Spadochroniarzy, Złotno, Polesie, Łódź, łódzkie",27.54m²,1 pokój,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych
