URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/apartament-studio-przy-rondzie-onz-ID4wdZD,1 030 000 zł,25 750 zł/m²,"al. Aleja Jana Pawła II, Muranów, Śródmieście, Warszawa, mazowieckie",40m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1972,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/duza-kawalerka-asnyka-3-okazja-ID4w1A8,309 999 zł,10 333 zł/m²,"ul. Adama Asnyka, Niebuszewo-Bolinko, Śródmieście, Szczecin, zachodniopomorskie",30m²,1 pokój,miejskie,wtórny,prywatny,1980,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-ogrodek-bezposrednio-ID4uqK3,Brak danych,Brak danych,"ul. Tadeusza Wendy, Śródmieście, Gdynia, pomorskie",32.94m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-27m2-ID4ujew,436 020 zł,15 600 zł/m²,"ul. Młoda, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",27.95m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-ogrodek-bez-prowizji-ID4usIM,Brak danych,Brak danych,"ul. Lazurowa, Chrzanów, Bemowo, Warszawa, mazowieckie",35.32m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-ogrodek-ID4uiHW,478 720 zł,16 000 zł/m²,"ul. Skarbka z Gór 47, Grodzisk, Białołęka, Warszawa, mazowieckie",29.92m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-32-95-m-wroclaw-ID4tXSX,450 000 zł,13 657 zł/m²,"ul. Obrońców Poczty Gdańskiej, Partynice, Krzyki, Wrocław, dolnośląskie",32.95m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2010,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-36m2-balkon-ID4uFeB,Brak danych,Brak danych,"ul. Fabryczna 24, Muchobór Mały, Fabryczna, Wrocław, dolnośląskie",36.68m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerkawidok-na-zielenprzy-lasku-na-kole-ID4uZUQ,499 000 zł,17 207 zł/m²,"ul. Obozowa, Koło, Wola, Warszawa, mazowieckie",29m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1936,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/wegrzce-wielkie-1-pok-kuchnia-balkon-piwnica-ID4uDTQ,450 000 zł,13 534 zł/m²,"Długa, Węgrzce Wielkie, Wieliczka, wielicki, małopolskie",33.25m²,1 pokój,gazowe,wtórny,biuro nieruchomości,2015,Brak danych,plastikowe,Brak danych
