URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-bezposrednio-ID4ugZ5,Brak danych,Brak danych,"ul. Zygmunta Wojciechowskiego, Piątkowo, Stare Miasto, Poznań, wielkopolskie",27.21m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-z-miejscem-garazowym-bez-posrednikow-ID4uJON,440 000 zł,14 667 zł/m²,"ul. Ułańska 17, Grunwald, Grunwald, Poznań, wielkopolskie",30m²,1 pokój,miejskie,wtórny,prywatny,2007,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/stary-mokotow-ciche-sloneczne-mieszkanie-z-balko-ID4w40T,825 000 zł,20 625 zł/m²,"ul. Lewicka, Stary Mokotów, Mokotów, Warszawa, mazowieckie",40m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1958,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/kawalerka-przy-ostrowie-tumskim-i-inwestycyjne-ID4w2FZ,455 000 zł,11 974 zł/m²,"ul. Bolesława Prusa 5, Ołbin, Śródmieście, Wrocław, dolnośląskie",38m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/ladna-kawalerka-na-niebuszewie-ID4weQf,320 000 zł,12 308 zł/m²,"Niebuszewo, Północ, Szczecin, zachodniopomorskie",26m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,1973,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-na-koperniku-ID4wf5b,230 000 zł,7 055 zł/m²,"Legnica, dolnośląskie",32.6m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,wielka płyta
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4uGaX,Brak danych,Brak danych,"ul. Chylońska, Cisowa, Gdynia, pomorskie",26.05m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-z-wydzielona-sypialnia-cena-brutto-ID4t1Q1,419 000 zł,17 929 zł/m²,"ul. Głęboka 14, Śródmieście, Gdańsk, pomorskie",23.37m²,1 pokój,miejskie,wtórny,prywatny,1975,blok,plastikowe,beton
https://www.otodom.pl/pl/oferta/kawalerka-inwestycyjna-w-pieknej-kamienicy-z-co-ID4w5ji,279 000 zł,10 205 zł/m²,"ul. Poznańska 20, Górniak, Górna, Łódź, łódzkie",27.34m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/apartamenty-inwestycyjne-prestiz-zysk-lokaliza-ID4wd15,318 950 zł,12 267 zł/m²,"Śródmieście, Śródmieście, Gdańsk, pomorskie",26m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,Brak danych,Brak danych,beton komórkowy
