URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/jasne-wygodne-kompaktowe-w-dogodnej-lokalizacji-ID4qA77,529 000 zł,16 332 zł/m²,"ul. Chmielna, Kurdwanów, Podgórze Duchackie, Kraków, małopolskie",32.39m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2019,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/wyjatkowa-kawalerka-nowe-budownictwo-winda-ID4uwRJ,449 000 zł,13 606 zł/m²,"ul. Potulicka, Nowe Miasto, Śródmieście, Szczecin, zachodniopomorskie",33m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-na-sprzedaz-ID4wftS,229 900 zł,9 233 zł/m²,"ul. Ludowa, Piła, pilski, wielkopolskie",24.9m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bezposrednio-ID4uuot,Brak danych,Brak danych,"ul. Dworska, Zagórze Północ, Sosnowiec, śląskie",34.73m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-gdansk-srodmiescie-4minuty-do-mariny-ID4waIS,285 463 zł,11 378 zł/m²,"Śródmieście, Gdańsk, pomorskie",25.09m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,blok,Brak danych,cegła
https://www.otodom.pl/pl/oferta/srebrzynska-park-iv-mieszkanie-1-pok-m98-ID4uSfQ,Brak danych,Brak danych,"ul. Srebrzyńska, Zdrowie, Polesie, Łódź, łódzkie",33.75m²,1 pokój,inne,pierwotny,deweloper,2027,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-obok-diabetu-ul-kosciuszki-chrzanow-ID4we7E,185 000 zł,5 763 zł/m²,"ul. Kościuszki, Chrzanów, Chrzanów, chrzanowski, małopolskie",32.1m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-loggia-bez-prowizji-ID4uA0m,Brak danych,Brak danych,"ul. Walońska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie",36.08m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-44m2-balkon-bez-prowizji-ID4upPg,Brak danych,Brak danych,"ul. Jałmużnicza, Śródmieście, Gdańsk, pomorskie",44.5m²,1 pokój,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-miasta-ID4ucST,269 000 zł,14 158 zł/m²,"ul. Stanisława Staszica, Gen. Grota-Roweckiego, Rzeszów, podkarpackie",19m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,1980,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/rezydencja-centrum-apartament-1-pok-7-ID4uaht,Brak danych,Brak danych,"ul. Nasyp, Śródmieście, Gliwice, śląskie",25.23m²,1 pokój,inne,pierwotny,deweloper,2025,apartamentowiec,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-47-81-m-kw-no-2-1-ID4pqyM,918 371 zł,19 209 zł/m²,"ul. Stawowa, Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie",47.81m²,1 pokój,miejskie,pierwotny,deweloper,2026,apartamentowiec,aluminiowe,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-w-atrakcyjnej-lokalizacji-ID4sS38,306 000 zł,7 338 zł/m²,"ul. Bukowa, Kutno, kutnowski, łódzkie",41.7m²,1 pokój,miejskie,pierwotny,deweloper,2024,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/mieszkanie-z-balkonem-w-centrum-ID4wcMe,233 000 zł,6 853 zł/m²,"ul. Stefana Batorego, Hajnówka, hajnowski, podlaskie",34m²,1 pokój,miejskie,wtórny,prywatny,2009,blok,plastikowe,pustak
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-41m2-bezposrednio-ID4u9Td,Brak danych,Brak danych,"ul. 6 Sierpnia, Stare Polesie, Polesie, Łódź, łódzkie",41.94m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4t4xS,558 026 zł,16 100 zł/m²,"ul. Pękowicka 94, Tonie, Prądnik Biały, Kraków, małopolskie",34.66m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/nowa-kawalerka-ap-na-wzgorzu-klimontowska-rabat-ID4wdkC,294 567 zł,10 140 zł/m²,"ul. Klimontowska, Sielec, Sosnowiec, śląskie",29.05m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,apartamentowiec,plastikowe,silikat
https://www.otodom.pl/pl/oferta/kawalerka-na-parterze-tramwaj-18-5-m2-ID4urQ0,215 000 zł,11 622 zł/m²,"ul. Na Wrzosach, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie",18.5m²,1 pokój,miejskie,wtórny,prywatny,Brak danych,Brak danych,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-centrum-swinoujscia-centrala-5-ID4uTYe,599 000 zł,15 043 zł/m²,"Świnoujście, zachodniopomorskie",39.82m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/szarych-szeregow-kawalerka-dzien-otwarty-07-03-ID4wdWR,154 321 zł,5 396 zł/m²,"ul. Szarych Szeregów, Elbląg, warmińsko-mazurskie",28.6m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,Brak danych,drewniane,wielka płyta
https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-z-ogrodem-szumilas-gdansk-ID4wdCg,400 000 zł,12 088 zł/m²,"Szumilas, Kowale, Kolbudy, gdański, pomorskie",33.09m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2022,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-w-poblizu-centrum-ID4tMHp,519 000 zł,16 476 zł/m²,"ul. Antoniego Augustynka-Wichury, Krowodrza, Krowodrza, Kraków, małopolskie",31.5m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2001,blok,Brak danych,pustak
https://www.otodom.pl/pl/oferta/duza-kawalerka-z-komorka-i-m-postojowym-ID4tMVL,249 000 zł,6 957 zł/m²,"Koszalin, zachodniopomorskie",35.79m²,1 pokój,gazowe,wtórny,biuro nieruchomości,2007,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/na-sprzedaz-onebedroom-we-francuskim-klimacie-ID4wbwx,789 000 zł,16 787 zł/m²,"ul. Józefa Chełmońskiego, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie",47m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,2010,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/super-studio-przy-metrze-pl-wilsona-ID4w7yJ,565 000 zł,18 833 zł/m²,"ul. Sady Żoliborskie, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",30m²,1 pokój,miejskie,wtórny,biuro nieruchomości,1961,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/nietuzinkowa-kawalerka-w-centrum-bydgoszczy-ID4uZNa,215 000 zł,10 180 zł/m²,"ul. Zduny, Śródmieście, Bydgoszcz, kujawsko-pomorskie",21.12m²,1 pokój,kotłownia,wtórny,prywatny,Brak danych,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-50m2-loggia-ID4usmZ,Brak danych,Brak danych,"ul. Krochmalna, Mirów, Wola, Warszawa, mazowieckie",50.97m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-49m2-balkon-bezposrednio-ID4uo4P,877 462 zł,17 599 zł/m²,"ul. Pabianicka, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie",49.86m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/sprzedam-pokoj-z-widna-kuchnia-na-starym-zoliborzu-ID4uSWX,600 000 zł,19 868 zł/m²,"ul. ks. Jerzego Popiełuszki, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",30.2m²,1 pokój,miejskie,wtórny,prywatny,1947,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-38m2-ogrodek-bezposrednio-ID4t4vA,610 400 zł,16 000 zł/m²,"ul. Pękowicka 96, Tonie, Prądnik Biały, Kraków, małopolskie",38.15m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-ogrodek-bezposrednio-ID4uoqi,482 000 zł,18 299 zł/m²,"ul. Lirników, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",26.34m²,1 pokój,brak informacji,pierwotny,deweloper,2027,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-przy-parkuwidok-na-centrumbez-prowizji-ID4wfj9,549 000 zł,19 551 zł/m²,"ul. Wieluńska, Ulrychów, Wola, Warszawa, mazowieckie",28.08m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,inny
https://www.otodom.pl/pl/oferta/kawalerka-pod-inwestycje-zakopane-ID4ouZm,229 000 zł,15 267 zł/m²,"Zakopane, tatrzański, małopolskie",15m²,1 pokój,kotłownia,wtórny,prywatny,Brak danych,Brak danych,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-przy-stoku-narciarskim-ladek-zdroj-ID4lHL0,299 000 zł,11 412 zł/m²,"Lądek-Zdrój, Lądek-Zdrój, kłodzki, dolnośląskie",26.2m²,1 pokój,gazowe,pierwotny,prywatny,2025,apartamentowiec,plastikowe,silikat
https://www.otodom.pl/pl/oferta/przytulna-kawalerka-z-sypialnia-w-centrum-ID4uW4W,329 000 zł,11 345 zł/m²,"Centrum, Biała Wschód, Bielsko-Biała, śląskie",29m²,1 pokój,gazowe,wtórny,biuro nieruchomości,1920,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-bez-prowizji-ID4upwb,Brak danych,Brak danych,"ul. Zwoleńska, Zerzeń, Wawer, Warszawa, mazowieckie",27.6m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
