URL,Cena,Cena za m²,Adres,Powierzchnia (m²),Liczba pokoi,Ogrzewanie,Rynek,Typ ogłoszeniodawcy,Rok budowy,Rodzaj zabudowy,Okna,Materiał budynku
https://www.otodom.pl/pl/oferta/lokal-inwestycyjny-w-samym-centrum-gdanska-ID4wd1b,321 848 zł,12 365 zł/m²,"ul. Siennicka, Śródmieście, Gdańsk, pomorskie",26.03m²,1 pokój,miejskie,pierwotny,biuro nieruchomości,2025,Brak danych,Brak danych,inny
https://www.otodom.pl/pl/oferta/warszawa-wola-ul-marcina-kasprzaka-ID4snaY,680 000 zł,23 448 zł/m²,"ul. Marcina Kasprzaka, Odolany, Wola, Warszawa, mazowieckie",29m²,1 pokój,brak informacji,wtórny,prywatny,2023,apartamentowiec,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-na-ul-bankowej-ID4uyp1,220 000 zł,7 586 zł/m²,"ul. Bankowa, Lubin, lubiński, dolnośląskie",29m²,1 pokój,brak informacji,wtórny,prywatny,Brak danych,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-9500-zl-m2sypialnia-poznania-ID4wdgE,315 195 zł,9 583 zł/m²,"ul. Kórnicka, Zalasewo, Swarzędz, poznański, wielkopolskie",32.89m²,1 pokój,gazowe,pierwotny,biuro nieruchomości,2025,blok,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkanie-w-samym-centrum-swietna-inwestycja-ID4q5Zp,215 000 zł,11 117 zł/m²,"Śródmieście, Rybnik, śląskie",19.34m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-bez-prowizji-ID4ulkZ,Brak danych,Brak danych,"ul. Skaryszewska, Kamionek, Praga-Południe, Warszawa, mazowieckie",25.99m²,1 pokój,brak informacji,pierwotny,deweloper,2025,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-49m2-taras-bez-posrednikow-ID4ugzp,Brak danych,Brak danych,"ul. Oleńki, Dawidy Bankowe, Raszyn, pruszkowski, mazowieckie",49.01m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kameralna-inwestycja-prestizowa-lokalizacja-ID4wcNT,439 320 zł,14 000 zł/m²,"ul. Prezydenta Franklina Delano Roosevelta, Centrum, Śródmieście, Łódź, łódzkie",31.38m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2024,kamienica,plastikowe,żelbet
https://www.otodom.pl/pl/oferta/szukasz-niewielkiego-mieszkania-zapraszam-ID4uXt6,210 000 zł,5 785 zł/m²,"Tarnowskie Góry, tarnogórski, śląskie",36.3m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,blok,plastikowe,Brak danych
https://www.otodom.pl/pl/oferta/ub587013-ID4uOaB,274 000 zł,8 839 zł/m²,"Retkinia, Polesie, Łódź, łódzkie",31m²,1 pokój,miejskie,wtórny,biuro nieruchomości,Brak danych,blok,Brak danych,wielka płyta
https://www.otodom.pl/pl/oferta/nowy-urzadzony-apartament-osiedle-premium-gumed-ID4wdVK,697 000 zł,24 034 zł/m²,"ul. Elizy Orzeszkowej, Aniołki, Gdańsk, pomorskie",29m²,1 pokój,brak informacji,wtórny,biuro nieruchomości,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-38m2-ogrodek-bez-prowizji-ID4uluV,Brak danych,Brak danych,"ul. prof. Janusza Groszkowskiego, Zegrze, Serock, legionowski, mazowieckie",38.3m²,1 pokój,brak informacji,pierwotny,deweloper,2024,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/mieszkania-ul-okrzei-nowa-cena-od-29-04-m2-ID4lARl,199 900 zł,6 884 zł/m²,"ul. Stefana Okrzei, Kłodzko, kłodzki, dolnośląskie",29.04m²,1 pokój,elektryczne,wtórny,biuro nieruchomości,2023,kamienica,plastikowe,cegła
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4uhpZ,Brak danych,Brak danych,"ul. Piwna, Plac Grunwaldzki, Śródmieście, Wrocław, dolnośląskie",31.65m²,1 pokój,brak informacji,pierwotny,deweloper,2026,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-17-5-m2-borek-falecki-ID4w2kj,209 000 zł,11 943 zł/m²,"Borek Fałęcki, Łagiewniki-Borek Fałęcki, Kraków, małopolskie",17.5m²,1 pokój,gazowe,wtórny,prywatny,Brak danych,Brak danych,Brak danych,Brak danych
https://www.otodom.pl/pl/oferta/super-widok-miejsce-w-hali-komorka-od-zaraz-ID4w079,586 000 zł,18 964 zł/m²,"ul. Sucha, Letnica, Gdańsk, pomorskie",30.9m²,1 pokój,miejskie,wtórny,biuro nieruchomości,2023,apartamentowiec,Brak danych,Brak danych
